level;;error;;file;;row;;code
HIGH;;Unsanitized dynamic input in OS command [CWE-78];;internal/action/command.go;;146;;	cmd := exec.Command(args[0], args[1:]...)
HIGH;;Unsanitized dynamic input in OS command [CWE-78];;internal/buffer/save.go;;36;;		cmd = exec.Command(config.GlobalSettings["sucmd"].(string), "dd", "bs=4k", "of="+name)
HIGH;;Unsanitized dynamic input in OS command [CWE-78];;internal/shell/job.go;;64;;	proc := exec.Command(cmdName, cmdArgs...)
HIGH;;Unsanitized dynamic input in OS command [CWE-78];;internal/shell/terminal.go;;77;;	cmd := exec.Command(execCmd[0], execCmd[1:]...)
HIGH;;Usage of weak hashing library (MD5) [CWE-328];;internal/buffer/buffer.go;;674;;	h.Sum((*out)[:0])
LOW;;Import of weak hashing library (MD5) [CWE-328];;internal/buffer/buffer.go;;6;;	"crypto/md5"
LOW;;Usage of weak hashing library [CWE-327];;internal/buffer/buffer.go;;646;;	h := md5.New()
LOW;;Permissive file assignment [CWE-276];;cmd/micro/debug.go;;21;;		f, err := os.OpenFile("log.txt", os.O_RDWR|os.O_CREATE|os.O_TRUNC, 0666)
LOW;;Permissive file assignment [CWE-276];;internal/buffer/save.go;;57;;	} else if writeCloser, err = os.OpenFile(name, os.O_WRONLY|os.O_CREATE|os.O_TRUNC, 0644); err != nil {
LOW;;Missing configuration against decompression bomb [CWE-327];;internal/config/plugin_installer.go;;461;;			if _, err = io.Copy(target, content); err != nil {
LOW;;Unsanitized user input in file path [CWE-73];;internal/buffer/buffer.go;;237;;	f, err := os.OpenFile(filename, os.O_WRONLY, 0)
LOW;;Unsanitized user input in file path [CWE-73];;internal/buffer/buffer.go;;249;;	file, err := os.Open(filename)
LOW;;Unsanitized user input in file path [CWE-73];;internal/buffer/save.go;;57;;	} else if writeCloser, err = os.OpenFile(name, os.O_WRONLY|os.O_CREATE|os.O_TRUNC, 0644); err != nil {
LOW;;Unsanitized user input in file path [CWE-73];;runtime/syntax/make_headers.go;;46;;	source, err := ioutil.ReadFile(filename)
LOW;;Unsanitized user input in file path [CWE-73];;runtime/syntax/make_headers.go;;67;;	data, _ := ioutil.ReadFile(name + ".hdr")
LOW;;Unsanitized user input in file path [CWE-73];;tools/testgen.go;;213;;		source, err := ioutil.ReadFile(filename)
LOW;;Permissive file creation [CWE-276];;internal/action/bindings.go;;28;;		ioutil.WriteFile(fname, []byte("{}"), 0644)
LOW;;Permissive file creation [CWE-276];;internal/action/bindings.go;;288;;		return true, ioutil.WriteFile(filename, append(txt, '\n'), 0644)
LOW;;Permissive file creation [CWE-276];;internal/action/bindings.go;;334;;		return ioutil.WriteFile(filename, append(txt, '\n'), 0644)
LOW;;Permissive file creation [CWE-276];;internal/config/settings.go;;192;;		err = ioutil.WriteFile(filename, append(txt, '\n'), 0644)
LOW;;Permissive file creation [CWE-276];;internal/config/settings.go;;214;;		err = ioutil.WriteFile(filename, append(txt, '\n'), 0644)
LOW;;Permissive file creation [CWE-276];;tools/info-plist.go;;44;;			err := ioutil.WriteFile("/tmp/micro-info.plist", infoPlistData, 0644)
LOW;;Permissive temporary file creation [CWE-378];;tools/info-plist.go;;44;;			err := ioutil.WriteFile("/tmp/micro-info.plist", infoPlistData, 0644)
LOW;;Unsanitized user input in HTTP request (SSRF) [CWE-918];;internal/util/util.go;;501;;	req, err := http.NewRequest(method, url, nil)
LOW;;Unsanitized user input in deserialization method [CWE-502];;pkg/highlight/parser.go;;127;;	err := yaml.Unmarshal(data, &hdrYaml)
LOW;;Unsanitized user input in deserialization method [CWE-502];;pkg/highlight/parser.go;;162;;	if err = yaml.Unmarshal(input, &rules); err != nil {
LOW;;Unsanitized user input in deserialization method [CWE-502];;runtime/syntax/make_headers.go;;50;;	err = yaml.Unmarshal(source, &hdr)
LOW;;Missing validation for regular expression [CWE-625];;cmd/micro/micro.go;;172;;	flagr := regexp.MustCompile(`^\+(\d+)(?::(\d+))?$`)
LOW;;Missing validation for regular expression [CWE-625];;internal/action/bindings.go;;105;;var r = regexp.MustCompile("<(.+?)>")
LOW;;Missing validation for regular expression [CWE-625];;internal/action/command.go;;794;;		regex, err = regexp.Compile("(?im)" + search)
LOW;;Missing validation for regular expression [CWE-625];;internal/action/command.go;;796;;		regex, err = regexp.Compile("(?m)" + search)
LOW;;Missing validation for regular expression [CWE-625];;internal/buffer/search.go;;123;;		r, err = regexp.Compile("(?i)" + s)
LOW;;Missing validation for regular expression [CWE-625];;internal/config/colorscheme.go;;86;;	parser := regexp.MustCompile(`color-link\s+(\S*)\s+"(.*)"`)
LOW;;Missing validation for regular expression [CWE-625];;internal/config/rtfiles.go;;186;;	isID := regexp.MustCompile(`^[_A-Za-z0-9]+$`).MatchString
LOW;;Missing validation for regular expression [CWE-625];;internal/display/statusline.go;;100;;var formatParser = regexp.MustCompile(`\$\(.+?\)`)
LOW;;Missing validation for regular expression [CWE-625];;internal/util/util.go;;318;;	re := regexp.MustCompile(`([\s\S]+?)(?::(\d+))(?::(\d+))?`)
LOW;;Missing validation for regular expression [CWE-625];;runtime/syntax/syntax_converter.go;;36;;	syntaxParser := regexp.MustCompile(`syntax "(.*?)"\s+"(.*)"+`)
LOW;;Missing validation for regular expression [CWE-625];;runtime/syntax/syntax_converter.go;;38;;	headerParser := regexp.MustCompile(`header "(.*)"`)
LOW;;Missing validation for regular expression [CWE-625];;runtime/syntax/syntax_converter.go;;41;;	ruleParser := regexp.MustCompile(`color (.*?)\s+(?:\((.+?)?\)\s+)?"(.*)"`)
LOW;;Missing validation for regular expression [CWE-625];;runtime/syntax/syntax_converter.go;;43;;	ruleStartEndParser := regexp.MustCompile(`color (.*?)\s+(?:\((.+?)?\)\s+)?start="(.*)"\s+end="(.*)"`)
LOW;;Missing validation for regular expression [CWE-625];;tools/testgen.go;;235;;	re := regexp.MustCompile(`[^\w]`)
WARNING;;Leakage of information in logger message [CWE-532];;cmd/micro/debug.go;;23;;			log.Fatalf("error opening file: %!v(MISSING)", err)
WARNING;;Leakage of information in logger message [CWE-532];;cmd/micro/micro.go;;244;;			log.Fatal("error creating CPU profile: ", err)
WARNING;;Leakage of information in logger message [CWE-532];;cmd/micro/micro.go;;247;;			log.Fatal("error starting CPU profile: ", err)
WARNING;;Leakage of information in logger message [CWE-532];;cmd/micro/micro.go;;352;;		log.Println(clipErr, " or change 'clipboard' option")
WARNING;;Leakage of information in logger message [CWE-532];;cmd/micro/micro.go;;453;;		log.Println("tcell event error: ", e.Error())
WARNING;;Leakage of information in logger message [CWE-532];;internal/config/plugin.go;;112;;		log.Println("Plugin does not exist:", p.Name, "at", p.DirName, ":", p)
WARNING;;Leakage of information in logger message [CWE-532];;internal/config/rtfiles.go;;212;;				log.Println(p.Name, "is not a plugin")
WARNING;;Leakage of information in logger message [CWE-532];;internal/config/rtfiles.go;;243;;					log.Println(p.Name, "is not a plugin")
WARNING;;Leakage of information in logger message [CWE-532];;internal/screen/screen.go;;167;;		log.Println("Warning: during screen initialization:", err)
WARNING;;Leakage of information in logger message [CWE-532];;internal/util/profile.go;;20;;	log.Println("START:", s)
WARNING;;Leakage of information in logger message [CWE-532];;internal/util/profile.go;;26;;	log.Println("END: ElapsedTime in seconds:", end.Sub(start))
WARNING;;Leakage of information in logger message [CWE-532];;tools/testgen.go;;215;;			log.Fatalln(err)
WARNING;;Leakage of information in logger message [CWE-532];;tools/testgen.go;;220;;			log.Fatalln(err)
